id,case,start_datetime,end_datetime,event
45,04,2018-03-12T14:23:55,2018-03-12T14:24:59,Shop
46,04,2018-03-12T14:25:31,2018-03-12T14:47:36,Beach
47,04,2018-03-12T14:48:08,2018-03-12T14:49:12,Mountains/hills/desert/sky
48,04,2018-03-12T14:49:57,2018-03-12T14:50:29,Beach
49,04,2018-03-12T14:51:01,2018-03-12T14:51:20,Mountains/hills/desert/sky
50,04,2018-03-12T14:51:52,2018-03-12T15:07:52,Beach
51,04,2018-03-12T15:08:24,2018-03-12T15:11:17,Mountains/hills/desert/sky
52,04,2018-03-12T15:11:49,2018-03-12T15:15:01,Beach
53,04,2018-03-12T15:15:33,2018-03-12T15:28:21,Mountains/hills/desert/sky
54,04,2018-03-12T15:28:53,2018-03-12T15:28:53,Beach
55,04,2018-03-12T15:29:25,2018-03-12T15:29:25,Mountains/hills/desert/sky
56,04,2018-03-12T15:29:57,2018-03-12T15:41:54,Beach
57,04,2018-03-12T15:42:26,2018-03-12T15:43:30,Mountains/hills/desert/sky
58,04,2018-03-12T15:44:02,2018-03-12T15:51:43,Beach
59,04,2018-03-12T15:52:15,2018-03-12T15:54:55,Mountains/hills/desert/sky
60,04,2018-03-12T15:55:27,2018-03-12T15:55:27,Beach
61,04,2018-03-12T15:55:59,2018-03-12T15:56:31,Mountains/hills/desert/sky
62,04,2018-03-12T15:57:03,2018-03-12T15:57:03,Beach
63,04,2018-03-12T15:57:35,2018-03-12T15:59:43,Pathways
64,04,2018-03-12T16:00:47,2018-03-12T16:21:48,Transportation
65,04,2018-03-12T16:22:20,2018-03-12T16:23:56,Pathways
66,04,2018-03-12T16:24:27,2018-03-12T16:28:43,Office
67,04,2018-03-12T16:29:16,2018-03-12T16:32:41,Pathways
68,04,2018-03-12T16:33:12,2018-03-12T16:35:52,Transportation
69,04,2018-03-12T16:36:25,2018-03-12T16:36:57,Garden
70,04,2018-03-12T16:37:28,2018-03-12T16:39:04,Transportation
71,04,2018-03-12T16:39:36,2018-03-12T16:44:24,Pathways
72,04,2018-03-12T18:10:09,2018-03-12T18:34:03,Bedroom
73,04,2018-03-12T18:37:03,2018-03-12T18:38:07,Livingroom
74,04,2018-03-12T18:38:39,2018-03-12T18:38:39,Transportation
75,04,2018-03-12T18:39:11,2018-03-12T18:49:20,Pathways
76,04,2018-03-12T18:49:52,2018-03-12T19:12:43,Shop
77,04,2018-03-12T19:13:15,2018-03-12T19:28:11,Pathways
78,04,2018-03-12T19:28:43,2018-03-12T19:29:15,Livingroom
79,04,2018-03-12T19:29:47,2018-03-12T19:31:23,Bedroom
0,05,2018-03-13T08:38:14,2018-03-13T08:41:07,Restaurant/Bar
1,05,2018-03-13T08:41:39,2018-03-13T08:42:11,Kitchen
2,05,2018-03-13T08:42:43,2018-03-13T08:49:07,Restaurant/Bar
3,05,2018-03-13T08:49:39,2018-03-13T08:52:19,Balcony
4,05,2018-03-13T08:53:24,2018-03-13T08:53:56,Livingroom
5,05,2018-03-13T08:54:28,2018-03-13T08:54:28,Balcony
6,05,2018-03-13T08:55:32,2018-03-13T08:56:36,Livingroom
7,05,2018-03-13T08:57:08,2018-03-13T09:06:25,Bathroom
8,05,2018-03-13T09:06:57,2018-03-13T11:06:37,Office
9,05,2018-03-13T11:07:09,2018-03-13T11:07:09,Otherrooms
10,05,2018-03-13T11:07:41,2018-03-13T12:00:44,Office
11,05,2018-03-13T12:01:16,2018-03-13T12:06:36,Bedroom
12,05,2018-03-13T12:07:40,2018-03-13T12:07:40,Kitchen
13,05,2018-03-13T12:08:12,2018-03-13T12:16:12,Bedroom
14,05,2018-03-13T12:16:44,2018-03-13T12:20:41,Kitchen
15,05,2018-03-13T12:21:13,2018-03-13T12:21:13,Bedroom
16,05,2018-03-13T12:21:45,2018-03-13T12:27:37,Restaurant/Bar
17,05,2018-03-13T12:28:41,2018-03-13T12:41:20,Bedroom
18,05,2018-03-13T12:41:52,2018-03-13T12:47:12,Kitchen
19,05,2018-03-13T12:48:49,2018-03-13T12:52:02,Bedroom
20,05,2018-03-13T12:52:34,2018-03-13T12:52:34,Kitchen
21,05,2018-03-13T12:53:38,2018-03-13T13:05:35,Bedroom
22,05,2018-03-13T13:06:07,2018-03-13T13:06:39,Kitchen
23,05,2018-03-13T13:07:11,2018-03-13T13:08:15,Bedroom
24,05,2018-03-13T13:09:19,2018-03-13T13:09:19,Otherrooms
25,05,2018-03-13T13:10:55,2018-03-13T13:11:59,Bedroom
26,05,2018-03-13T13:12:31,2018-03-13T13:24:28,Pathways
27,05,2018-03-13T13:25:00,2018-03-13T15:30:33,Office
28,05,2018-03-13T15:31:05,2018-03-13T15:31:43,Pathways
29,05,2018-03-13T15:32:14,2018-03-13T15:32:46,Bathroom
30,05,2018-03-13T15:33:18,2018-03-13T15:34:22,Pathways
31,05,2018-03-13T15:34:54,2018-03-13T16:13:08,Office
32,05,2018-03-13T16:13:40,2018-03-13T16:53:13,Pathways
33,05,2018-03-13T16:53:45,2018-03-13T16:54:17,Transportation
34,05,2018-03-13T16:54:49,2018-03-13T16:55:53,Otherrooms
35,05,2018-03-13T16:56:25,2018-03-13T16:58:02,Kitchen
36,05,2018-03-13T16:58:34,2018-03-13T17:08:54,Livingroom
37,05,2018-03-13T17:09:26,2018-03-13T17:22:14,Pathways
38,05,2018-03-13T17:22:46,2018-03-13T17:23:50,Transportation
39,05,2018-03-13T17:24:22,2018-03-13T17:24:22,Pathways
40,05,2018-03-13T17:24:54,2018-03-13T18:45:14,Restaurant/Bar
41,05,2018-03-13T18:45:46,2018-03-13T18:46:18,Pathways
42,05,2018-03-13T18:46:50,2018-03-13T18:55:03,Shop
43,05,2018-03-13T18:55:35,2018-03-13T19:15:32,Pathways
44,05,2018-03-13T19:16:04,2018-03-13T19:16:04,Transportation
45,05,2018-03-13T19:16:36,2018-03-13T19:16:36,Livingroom
0,06,2018-03-14T08:26:46,2018-03-14T08:43:31,Kitchen
1,06,2018-03-14T08:44:03,2018-03-14T08:49:04,Restaurant/Bar
2,06,2018-03-14T08:49:36,2018-03-14T08:49:36,Kitchen
3,06,2018-03-14T08:50:08,2018-03-14T08:51:12,Livingroom
4,06,2018-03-14T08:51:44,2018-03-14T08:51:44,Kitchen
5,06,2018-03-14T08:52:16,2018-03-14T08:52:48,Livingroom
6,06,2018-03-14T08:53:20,2018-03-14T08:55:28,Kitchen
7,06,2018-03-14T08:56:00,2018-03-14T08:56:00,Livingroom
8,06,2018-03-14T08:56:32,2018-03-14T09:00:48,Balcony
9,06,2018-03-14T09:01:20,2018-03-14T09:01:20,Livingroom
10,06,2018-03-14T09:01:52,2018-03-14T09:02:56,Kitchen
11,06,2018-03-14T10:06:46,2018-03-14T10:06:46,Transportation
12,06,2018-03-14T10:07:18,2018-03-14T10:28:51,Pathways
13,06,2018-03-14T10:29:23,2018-03-14T10:43:28,Office
14,06,2018-03-14T10:44:00,2018-03-14T10:46:40,Pathways
15,06,2018-03-14T10:47:12,2018-03-14T12:16:17,Office
16,06,2018-03-14T12:16:49,2018-03-14T12:23:13,Pathways
17,06,2018-03-14T12:23:45,2018-03-14T12:23:45,Transportation
18,06,2018-03-14T12:24:49,2018-03-14T12:35:42,Kitchen
19,06,2018-03-14T12:36:14,2018-03-14T12:36:14,Livingroom
20,06,2018-03-14T12:36:46,2018-03-14T12:37:18,Kitchen
21,06,2018-03-14T12:37:50,2018-03-14T12:37:50,Livingroom
22,06,2018-03-14T12:38:22,2018-03-14T12:38:22,Kitchen
23,06,2018-03-14T12:39:26,2018-03-14T12:47:26,Restaurant/Bar
24,06,2018-03-14T12:47:58,2018-03-14T12:52:14,Kitchen
25,06,2018-03-14T12:52:46,2018-03-14T12:55:26,Livingroom
26,06,2018-03-14T12:57:15,2018-03-14T12:57:15,Kitchen
27,06,2018-03-14T12:57:47,2018-03-14T12:57:47,Balcony
28,06,2018-03-14T12:58:19,2018-03-14T13:00:59,Livingroom
29,06,2018-03-14T13:01:31,2018-03-14T13:01:31,Kitchen
30,06,2018-03-14T13:02:03,2018-03-14T13:04:11,Livingroom
31,06,2018-03-14T13:04:43,2018-03-14T13:05:15,Kitchen
32,06,2018-03-14T13:05:47,2018-03-14T13:13:15,Livingroom
33,06,2018-03-14T13:13:47,2018-03-14T13:14:19,Kitchen
34,06,2018-03-14T13:14:51,2018-03-14T13:14:51,Livingroom
35,06,2018-03-14T13:15:55,2018-03-14T13:15:55,Transportation
36,06,2018-03-14T13:16:40,2018-03-14T13:28:08,Pathways
37,06,2018-03-14T13:28:40,2018-03-14T14:26:54,Office
38,06,2018-03-14T14:27:26,2018-03-14T14:28:30,Pathways
39,06,2018-03-14T14:29:02,2018-03-14T14:29:34,Bathroom
40,06,2018-03-14T14:30:06,2018-03-14T14:30:06,Buildings
41,06,2018-03-14T14:30:38,2018-03-14T14:31:42,Pathways
42,06,2018-03-14T14:32:14,2018-03-14T15:30:29,Office
43,06,2018-03-14T15:31:01,2018-03-14T15:38:29,Pathways
44,06,2018-03-14T15:39:01,2018-03-14T15:39:01,Transportation
45,06,2018-03-14T15:39:46,2018-03-14T15:39:46,Pathways
